EAR,mouth_ratio,head_tilt,eye_closure_time,no_movement_time,label
0.235,0.685,11.4,1.12,4.53,drowsy
0.123,0.252,10.7,6.5,9.34,unconscious
0.067,0.164,25.6,3.29,5.4,unconscious
0.281,0.283,4.5,0.18,0.0,alert
0.174,0.374,31.3,3.0,13.76,unconscious
0.324,0.934,15.4,2.27,3.99,drowsy
0.153,0.415,10.0,1.04,4.79,drowsy
0.313,0.217,2.6,0.57,0.27,alert
0.138,0.402,26.1,5.15,5.98,unconscious
0.267,0.305,1.6,0.33,0.61,alert
0.287,0.254,3.8,0.25,0.88,alert
0.079,0.066,25.7,0.56,0.0,unconscious
0.198,0.375,6.8,0.06,0.84,alert
0.233,0.87,8.8,4.01,3.5,drowsy
0.177,0.559,1.2,1.82,0.58,drowsy
0.117,0.458,16.4,2.24,8.12,unconscious
0.3,0.451,5.3,0.0,0.29,alert
0.261,0.351,2.5,0.0,0.83,alert
0.136,0.695,16.8,0.77,1.03,drowsy
0.26,0.391,2.9,0.39,0.0,alert
0.083,0.724,8.1,0.96,4.09,drowsy
0.112,0.651,29.1,6.58,5.55,unconscious
0.212,0.761,13.5,1.42,12.61,unconscious
0.25,0.322,3.4,0.0,0.48,alert
0.081,0.671,22.6,5.78,9.1,unconscious
0.193,0.613,8.2,3.54,3.81,drowsy
0.199,0.468,5.0,0.5,1.22,alert
0.122,0.384,21.9,0.89,12.39,unconscious
0.218,0.341,5.7,0.16,0.79,alert
0.194,0.73,9.9,0.59,1.97,drowsy
0.09,0.419,21.1,3.27,3.68,unconscious
0.195,0.516,6.0,0.26,0.17,alert
0.258,0.47,2.8,0.05,0.01,alert
0.127,0.331,30.7,2.99,4.61,unconscious
0.193,0.449,7.4,2.54,2.04,drowsy
0.148,0.519,40.7,7.69,5.17,unconscious
0.186,0.422,21.8,3.01,4.83,unconscious
0.208,0.784,12.1,2.68,2.27,drowsy
0.322,0.278,8.4,0.33,0.55,alert
0.234,0.644,8.3,2.99,4.34,drowsy
0.208,0.427,20.8,4.96,7.89,unconscious
0.098,0.66,15.0,0.87,4.83,drowsy
0.254,0.558,7.7,0.77,0.75,alert
0.247,0.328,4.8,0.38,0.42,alert
0.25,0.35,1.5,0.25,0.0,alert
0.339,0.12,6.9,0.1,0.52,alert
0.183,0.338,18.6,3.99,0.0,drowsy
0.126,0.595,14.4,3.73,2.81,drowsy
0.23,0.232,1.1,0.3,1.14,alert
0.259,0.558,11.4,4.79,2.9,drowsy
0.287,0.245,2.1,0.0,0.33,alert
0.261,0.008,3.6,0.38,0.6,alert
0.164,0.49,16.0,6.35,9.6,unconscious
0.165,0.595,17.6,1.38,4.46,drowsy
0.265,0.819,34.3,6.4,8.88,drowsy
0.254,0.397,3.2,0.16,0.22,alert
0.085,0.391,29.2,4.05,4.19,unconscious
0.189,0.628,13.5,2.8,0.71,drowsy
0.149,0.331,31.2,3.09,6.81,unconscious
0.255,0.181,1.7,0.59,0.77,alert
0.124,0.302,19.2,5.37,15.31,unconscious
0.22,0.499,11.8,0.81,4.13,drowsy
0.214,0.659,15.8,2.94,2.54,drowsy
0.207,0.608,16.3,2.74,2.35,drowsy
0.185,0.436,28.1,5.47,6.54,unconscious
0.174,0.32,41.9,8.56,10.1,unconscious
0.208,0.722,18.6,0.04,4.59,drowsy
0.149,0.479,31.3,6.65,6.49,unconscious
0.176,0.467,28.0,7.3,12.38,unconscious
0.16,0.792,20.2,1.65,3.99,drowsy
0.113,0.25,27.5,2.29,12.54,unconscious
0.24,0.311,9.9,0.31,0.12,alert
0.19,0.352,23.5,5.24,9.75,unconscious
0.278,0.268,6.7,0.15,0.74,alert
0.34,0.25,1.3,0.38,1.33,alert
0.133,0.517,28.6,7.76,8.8,unconscious
0.189,0.593,11.2,2.06,3.95,drowsy
0.207,0.687,22.2,0.0,3.28,drowsy
0.307,0.48,8.8,1.5,5.51,drowsy
0.352,0.125,7.0,0.14,0.0,alert
0.151,0.011,26.9,5.37,8.33,unconscious
0.258,0.555,15.3,2.54,3.03,drowsy
0.157,0.491,22.3,6.06,5.17,unconscious
0.12,0.46,28.0,0.8,9.81,unconscious
0.162,0.205,29.1,3.4,7.27,unconscious
0.189,0.858,11.6,2.92,1.75,drowsy
0.212,0.725,8.1,2.06,4.03,drowsy
0.328,0.392,5.7,0.0,0.57,alert
0.26,0.333,7.2,0.08,1.33,alert
0.145,0.613,14.8,5.08,8.85,unconscious
0.271,0.201,1.6,0.0,0.26,alert
0.194,0.206,24.6,6.48,5.57,unconscious
0.153,0.889,29.6,4.9,7.28,unconscious
0.282,0.345,7.3,0.1,0.96,alert
0.185,0.568,7.6,0.2,2.99,drowsy
0.269,0.407,5.2,0.21,0.48,alert
0.247,0.677,13.2,0.92,3.68,drowsy
0.289,0.278,7.2,0.18,2.23,drowsy
0.2,0.623,18.7,1.79,2.15,drowsy
0.125,0.206,29.0,5.41,8.5,unconscious
0.08,0.381,23.7,7.62,9.65,unconscious
0.186,0.806,7.1,0.84,5.77,drowsy
0.31,0.468,2.9,0.38,0.6,alert
0.16,0.647,18.8,5.07,5.49,unconscious
0.318,0.139,6.5,0.74,0.57,alert
0.15,0.228,29.2,3.35,5.63,unconscious
0.264,0.588,9.2,2.59,0.77,drowsy
0.27,0.734,13.4,1.15,2.31,drowsy
0.119,0.406,13.8,5.09,7.95,unconscious
0.412,0.159,38.5,2.55,3.91,alert
0.101,0.0,28.2,6.65,3.66,unconscious
0.305,0.606,7.6,0.93,1.39,drowsy
0.183,0.785,15.9,0.49,3.12,drowsy
0.167,0.452,15.0,2.44,2.22,drowsy
0.136,0.291,41.1,6.64,9.4,unconscious
0.185,0.58,30.6,5.86,2.21,unconscious
0.125,0.833,9.9,1.62,3.44,drowsy
0.1,0.634,23.2,4.3,10.32,unconscious
0.324,0.287,9.0,0.0,0.76,alert
0.202,0.547,9.4,3.07,4.23,drowsy
0.129,0.0,24.9,3.59,11.95,unconscious
0.137,0.117,19.2,8.35,11.48,unconscious
0.199,0.515,19.5,0.95,0.39,drowsy
0.246,0.318,9.3,0.04,0.27,alert
0.202,0.813,12.8,0.3,4.52,drowsy
0.131,0.733,7.8,1.57,2.88,drowsy
0.247,0.871,16.4,2.01,5.09,drowsy
0.188,0.863,11.3,7.32,4.63,drowsy
0.355,0.205,4.4,0.0,0.37,alert
0.152,0.202,37.8,5.16,7.89,unconscious
0.094,0.643,24.7,6.39,8.76,alert
0.209,0.574,15.6,0.0,1.98,drowsy
0.167,0.535,7.7,5.26,11.49,unconscious
0.18,0.762,16.8,2.68,2.74,drowsy
0.188,0.424,6.4,1.86,4.61,drowsy
0.225,0.784,7.4,1.86,3.27,drowsy
0.185,0.663,13.5,2.19,2.72,drowsy
0.121,0.334,16.8,6.53,10.67,unconscious
0.315,0.058,2.2,0.0,0.05,alert
0.143,0.666,37.3,4.65,9.43,unconscious
0.183,0.395,2.5,0.63,0.56,alert
0.262,0.302,8.6,0.3,0.71,alert
0.263,0.58,6.1,1.96,2.94,drowsy
0.079,0.502,13.0,4.16,3.98,unconscious
0.29,0.409,0.1,0.1,0.99,alert
0.29,0.462,13.2,1.57,1.21,drowsy
0.147,0.327,28.9,5.17,5.6,unconscious
0.084,0.121,31.7,5.68,6.48,unconscious
0.145,0.246,31.9,1.99,9.12,unconscious
0.183,0.795,12.4,0.73,0.11,drowsy
0.278,0.281,6.6,0.0,1.03,alert
0.209,0.332,7.7,0.0,0.84,alert
0.191,0.393,20.7,0.92,2.77,unconscious
0.139,0.555,25.8,0.0,10.99,unconscious
0.31,0.485,2.4,0.0,0.05,alert
0.161,0.623,19.0,1.49,4.73,drowsy
0.177,0.269,16.6,5.01,14.79,unconscious
0.196,0.559,6.7,2.85,2.94,drowsy
0.278,0.413,4.4,0.12,0.31,alert
0.153,0.403,36.7,5.08,2.36,unconscious
0.129,0.733,9.0,1.52,5.84,drowsy
0.207,0.448,8.1,1.96,3.17,drowsy
0.289,0.586,9.5,2.04,3.55,drowsy
0.178,0.515,15.6,3.85,9.51,unconscious
0.227,0.726,4.4,1.78,4.24,drowsy
0.232,0.496,6.7,0.81,1.61,drowsy
0.158,0.665,24.8,5.67,14.7,unconscious
0.296,0.144,7.8,0.0,0.47,alert
0.155,0.307,27.8,1.99,5.43,unconscious
0.232,0.614,16.2,3.64,4.55,unconscious
0.144,0.323,29.0,4.67,6.53,unconscious
0.294,0.295,7.9,0.0,0.79,alert
0.18,0.867,16.3,1.17,3.03,drowsy
0.237,0.634,3.0,1.31,1.35,drowsy
0.141,0.354,15.2,3.75,7.22,unconscious
0.228,0.803,14.0,0.62,1.31,drowsy
0.225,0.359,6.0,0.09,0.0,alert
0.178,0.398,26.4,4.14,6.26,unconscious
0.258,0.337,2.8,0.0,1.3,alert
0.268,0.59,13.4,2.41,4.58,drowsy
0.212,0.6,10.4,0.48,3.41,drowsy
0.133,0.79,30.5,3.61,10.82,unconscious
0.211,0.651,30.4,4.69,4.63,unconscious
0.217,0.493,13.9,2.21,2.31,drowsy
0.356,0.356,1.2,0.25,0.38,alert
0.258,0.047,4.7,0.49,0.28,alert
0.229,0.283,6.4,0.36,0.75,alert
0.101,0.267,34.2,5.52,11.17,unconscious
0.13,0.079,36.0,7.05,9.43,unconscious
0.242,0.263,10.2,0.0,0.64,alert
0.079,0.282,8.3,7.77,0.19,unconscious
0.263,0.12,4.7,0.0,0.37,alert
0.347,0.147,5.1,0.0,0.94,alert
0.303,0.2,0.9,0.41,0.45,alert
0.244,0.419,7.4,0.02,0.43,alert
0.261,0.32,2.7,0.6,0.0,alert
0.253,0.563,17.2,1.44,2.27,drowsy
0.3,0.694,6.8,1.81,2.92,drowsy
0.18,0.486,21.5,1.99,6.48,unconscious
0.122,0.434,24.3,5.1,11.96,unconscious
0.14,0.626,4.7,1.7,1.27,drowsy
0.178,0.654,13.6,0.89,2.19,drowsy
0.262,0.315,3.1,0.33,0.0,alert
0.267,0.271,3.6,0.42,0.52,alert
0.237,0.387,4.9,0.57,0.98,alert
0.276,0.737,20.4,1.49,0.0,drowsy
0.191,0.584,24.8,5.12,9.67,unconscious
0.196,0.826,12.1,2.68,3.86,drowsy
0.111,0.748,24.1,4.52,1.49,unconscious
0.071,0.274,22.3,0.61,5.36,unconscious
0.272,0.33,3.3,0.64,0.47,alert
0.296,0.385,0.8,0.0,0.68,alert
0.205,0.659,37.5,4.99,10.07,unconscious
0.216,0.255,35.4,3.91,12.43,unconscious
0.341,0.358,0.9,0.0,0.09,alert
0.151,0.017,19.7,7.69,8.41,unconscious
0.15,0.125,31.3,4.34,7.0,unconscious
0.228,0.943,7.3,1.94,3.5,drowsy
0.277,0.755,11.8,2.6,3.4,drowsy
0.274,0.266,6.7,0.0,0.18,alert
0.137,0.257,30.5,3.04,4.11,unconscious
0.115,0.366,30.7,8.77,10.23,unconscious
0.177,0.292,22.4,8.09,14.53,unconscious
0.154,0.233,33.2,8.11,6.09,unconscious
0.148,0.667,14.0,1.66,4.04,drowsy
0.157,0.84,13.0,2.85,2.82,drowsy
0.332,0.779,30.8,7.98,0.71,drowsy
0.291,0.846,9.5,3.17,2.24,drowsy
0.109,0.247,27.4,4.55,5.82,unconscious
0.142,0.339,11.5,4.56,13.6,unconscious
0.15,0.064,18.8,2.47,8.58,unconscious
0.287,0.141,5.6,0.0,0.0,alert
0.137,0.205,14.5,7.53,11.26,unconscious
0.224,0.462,2.0,0.18,0.91,alert
0.106,0.33,25.1,3.67,4.65,unconscious
0.306,0.181,3.6,0.38,0.63,alert
0.201,0.567,3.0,2.41,4.3,drowsy
0.211,0.767,8.3,2.7,5.23,drowsy
0.309,0.242,4.5,0.17,0.22,alert
0.201,0.71,4.4,2.33,3.83,drowsy
0.314,0.75,12.0,1.24,3.59,drowsy
0.149,0.714,30.8,4.47,5.29,unconscious
0.254,0.158,3.8,0.66,0.71,alert
0.122,0.155,34.4,3.19,11.5,unconscious
0.167,0.517,15.7,1.26,3.35,drowsy
0.208,0.532,35.1,5.34,8.97,unconscious
0.124,0.0,17.8,5.81,3.7,unconscious
0.107,0.399,38.4,2.32,8.37,unconscious
0.136,0.516,34.8,1.99,7.54,unconscious
0.188,0.672,7.8,0.62,0.87,drowsy
0.296,0.552,25.6,2.82,1.16,drowsy
0.35,0.452,0.3,0.15,1.05,alert
0.164,0.715,7.1,3.99,3.61,drowsy
0.267,0.388,5.8,0.56,0.61,alert
0.176,0.621,22.0,5.89,8.1,unconscious
0.171,0.766,12.1,3.52,5.24,drowsy
0.153,0.211,27.2,5.86,6.57,unconscious
0.143,0.328,32.9,6.41,5.93,unconscious
0.167,0.42,22.1,5.92,10.48,unconscious
0.18,0.177,27.4,6.4,5.15,unconscious
0.138,0.217,20.6,4.25,11.56,unconscious
0.122,0.345,10.4,0.68,3.07,drowsy
0.204,0.417,25.6,4.5,6.54,unconscious
0.073,0.736,28.1,4.54,3.77,unconscious
0.411,0.487,32.2,5.65,7.96,unconscious
0.138,0.365,23.5,6.35,10.77,unconscious
0.292,0.61,11.9,0.18,0.7,drowsy
0.157,0.564,35.9,5.68,9.3,unconscious
0.281,0.408,3.9,0.0,0.0,alert
0.1,0.547,21.3,8.42,3.85,unconscious
0.295,0.309,1.5,0.0,0.43,alert
0.221,0.838,9.8,3.18,2.1,drowsy
0.156,0.155,10.8,5.4,10.27,unconscious
0.341,0.235,4.1,0.77,0.74,alert
0.293,0.39,5.2,0.0,0.0,alert
0.216,0.473,11.0,0.09,0.08,alert
0.218,0.591,16.8,3.32,2.55,drowsy
0.118,0.025,15.7,0.74,14.83,unconscious
0.191,0.072,8.5,1.2,9.51,unconscious
0.105,0.619,30.2,7.3,5.23,unconscious
0.234,0.859,5.1,1.86,3.34,drowsy
0.122,0.26,30.6,5.56,7.67,unconscious
0.173,0.415,17.4,0.47,6.01,drowsy
0.245,0.298,6.3,0.41,1.05,alert
0.294,0.32,6.1,0.84,0.6,alert
0.245,0.402,7.4,0.15,0.0,alert
0.237,0.643,14.0,1.07,2.73,drowsy
0.169,0.355,9.1,1.53,3.17,drowsy
0.298,0.564,7.6,0.22,0.27,alert
0.153,0.0,12.1,5.69,12.34,unconscious
0.172,0.312,19.6,4.9,9.52,unconscious
0.246,0.351,7.9,0.4,0.61,alert
0.18,0.794,17.0,1.89,3.52,drowsy
0.274,0.392,4.6,0.0,0.48,alert
0.146,0.178,18.2,4.95,10.25,unconscious
0.134,0.999,7.4,1.61,2.57,drowsy
0.345,0.205,20.0,7.68,3.44,drowsy
0.264,0.134,4.1,0.0,0.0,alert
0.213,0.478,14.6,1.68,2.2,drowsy
0.16,0.843,9.1,0.08,2.43,drowsy
0.096,0.319,25.8,2.47,13.82,unconscious
0.078,0.752,31.7,1.16,9.33,drowsy
0.35,0.407,8.5,0.18,0.0,alert
0.148,0.115,6.2,7.01,5.19,unconscious
0.207,0.841,2.5,0.0,3.5,drowsy
0.178,0.529,31.5,5.85,3.04,unconscious
0.26,0.343,1.3,0.29,0.39,alert
0.099,0.378,24.4,3.83,6.65,unconscious
0.295,0.312,8.7,0.33,0.37,alert
0.217,0.168,4.1,0.34,0.89,alert
0.175,0.664,20.4,2.65,2.48,drowsy
0.366,0.447,8.4,0.0,1.0,alert
0.283,0.193,8.7,0.52,0.19,alert
0.16,0.721,12.3,1.92,3.38,drowsy
0.155,0.557,17.1,1.18,3.34,drowsy
0.135,0.671,16.5,2.13,4.49,drowsy
0.335,0.103,6.5,0.52,0.0,alert
0.163,0.504,23.9,1.3,13.46,unconscious
0.249,0.663,8.5,2.18,0.2,drowsy
0.224,0.411,8.1,0.0,0.79,alert
0.279,0.432,7.7,0.0,0.03,alert
0.355,0.392,5.3,0.0,0.06,alert
0.157,0.068,28.6,4.67,9.65,unconscious
0.147,0.387,27.6,6.44,11.07,unconscious
0.356,0.664,7.5,1.46,3.4,drowsy
0.288,0.352,3.4,0.21,0.44,alert
0.259,0.21,4.0,0.25,1.24,alert
0.133,0.409,20.0,4.65,7.4,unconscious
0.093,0.42,22.2,7.7,9.52,unconscious
0.449,0.169,3.5,1.12,2.69,unconscious
0.326,0.219,10.3,0.0,0.92,alert
0.219,0.346,1.6,0.8,0.0,alert
0.263,0.22,5.0,0.24,0.68,alert
0.193,0.69,8.0,1.9,0.92,drowsy
0.17,0.583,3.3,0.45,2.68,drowsy
0.247,0.239,6.5,0.0,0.0,alert
0.142,0.376,28.9,5.21,8.5,unconscious
0.259,0.595,20.6,1.25,9.91,alert
0.278,0.144,1.6,0.23,0.0,alert
0.118,0.38,31.3,6.26,7.97,unconscious
0.357,0.704,31.7,6.26,1.04,unconscious
0.313,0.355,5.4,0.41,0.09,alert
0.088,0.635,29.2,3.95,12.95,unconscious
0.255,0.307,5.1,0.3,0.5,alert
0.381,0.785,12.4,3.77,2.34,drowsy
0.117,0.116,23.3,3.39,8.22,unconscious
0.112,0.653,25.9,5.56,10.52,unconscious
0.269,0.201,11.1,0.49,1.41,alert
0.16,0.326,20.1,6.82,14.01,unconscious
0.225,0.794,11.9,2.69,3.29,drowsy
0.23,0.93,15.0,2.08,3.37,drowsy
0.063,0.501,34.8,3.89,10.15,unconscious
0.136,0.244,15.3,3.46,3.34,drowsy
0.15,0.636,16.5,1.27,1.5,drowsy
0.173,0.448,15.2,2.03,1.36,drowsy
0.191,0.794,9.0,1.69,2.35,drowsy
0.192,0.754,20.6,1.77,4.46,drowsy
0.212,0.647,13.8,0.0,3.71,drowsy
0.196,0.726,3.6,1.16,2.78,drowsy
0.183,0.34,18.8,2.84,13.06,unconscious
0.341,0.665,11.9,0.94,8.31,drowsy
0.24,0.395,9.7,0.51,0.79,alert
0.117,0.28,11.1,4.93,11.05,unconscious
0.182,0.919,12.4,1.03,3.56,drowsy
0.215,0.496,15.1,0.32,3.61,drowsy
0.224,0.4,4.4,0.0,0.55,alert
0.108,0.229,36.3,5.28,8.45,unconscious
0.232,0.695,11.6,1.53,4.83,drowsy
0.148,0.282,27.6,5.86,7.86,unconscious
0.184,0.521,14.0,3.14,1.53,drowsy
0.113,0.234,33.2,3.85,9.51,unconscious
0.239,0.208,1.8,0.55,0.35,alert
0.099,0.515,18.3,6.55,7.82,unconscious
0.129,0.513,15.7,3.16,3.99,unconscious
0.097,0.415,24.7,3.83,7.15,unconscious
0.155,0.645,14.3,2.63,3.14,drowsy
0.348,0.581,34.4,5.74,2.82,drowsy
0.268,0.494,9.3,0.11,0.4,alert
0.17,0.923,10.3,0.63,4.96,drowsy
0.304,0.224,5.8,0.0,0.85,alert
0.12,0.282,25.7,2.89,5.58,unconscious
0.14,0.272,37.7,3.51,8.93,unconscious
0.256,0.603,11.9,0.0,4.34,drowsy
0.219,0.537,7.3,3.42,1.74,drowsy
0.148,0.65,9.8,2.28,1.37,drowsy
0.321,0.471,7.6,0.0,0.85,alert
0.224,0.186,4.2,0.09,0.6,alert
0.211,0.474,7.5,0.02,0.46,alert
0.198,0.814,15.7,1.74,3.22,drowsy
0.304,0.645,16.5,1.42,0.0,drowsy
0.208,0.785,8.2,2.46,5.14,drowsy
0.166,0.257,19.9,4.08,6.41,unconscious
0.253,0.28,6.1,0.29,0.03,alert
0.164,0.647,10.6,2.48,2.87,drowsy
0.084,0.272,18.1,0.0,8.98,unconscious
0.14,0.525,29.3,3.29,7.03,unconscious
0.129,0.256,15.9,2.47,4.53,unconscious
0.218,0.716,15.8,3.7,3.26,drowsy
0.173,0.819,5.0,0.4,3.92,drowsy
0.249,0.643,18.1,1.63,3.03,drowsy
0.341,0.215,6.4,0.01,0.23,alert
0.193,0.579,11.5,3.88,5.12,drowsy
0.251,0.401,3.2,0.0,0.39,alert
0.188,0.575,20.2,1.66,1.87,drowsy
0.294,0.521,15.9,2.36,4.59,drowsy
0.149,0.298,26.4,2.89,11.42,unconscious
0.248,0.279,6.4,0.25,1.18,alert
0.33,0.142,7.7,0.4,1.21,alert
0.124,0.155,43.2,4.81,4.35,unconscious
0.259,0.18,7.0,0.06,0.55,alert
0.112,0.655,30.2,3.74,13.6,unconscious
0.123,0.849,8.7,1.6,2.32,drowsy
0.278,0.256,5.4,0.17,0.56,alert
0.23,0.795,12.3,2.78,4.0,drowsy
0.163,0.705,8.0,1.52,3.27,drowsy
0.337,0.4,8.7,0.09,1.09,alert
0.246,0.461,1.6,0.28,0.17,alert
0.258,0.497,10.4,2.45,2.55,drowsy
0.158,0.488,26.4,8.49,9.63,unconscious
0.177,0.414,17.3,6.49,9.54,unconscious
0.323,0.312,7.2,0.27,0.01,alert
0.327,0.453,6.2,0.0,0.32,alert
0.258,0.013,19.0,0.69,4.29,alert
0.259,0.559,15.5,1.09,2.55,drowsy
0.136,0.445,31.4,7.32,5.2,unconscious
0.111,0.573,38.1,5.89,6.88,drowsy
0.142,0.289,9.4,6.23,5.9,unconscious
0.322,0.241,6.4,0.0,0.74,alert
0.279,0.308,5.3,0.26,0.0,alert
0.301,0.901,13.0,2.44,1.48,drowsy
0.275,0.596,3.4,0.32,5.24,drowsy
0.23,0.549,21.4,2.63,3.37,drowsy
0.154,0.335,20.7,6.02,13.7,unconscious
0.317,0.233,2.5,0.0,0.6,alert
0.185,0.519,31.0,8.56,12.03,unconscious
0.27,0.56,11.3,0.0,1.6,drowsy
0.283,0.279,0.4,0.68,0.88,alert
0.161,0.654,7.1,1.53,4.55,drowsy
0.124,0.582,16.3,4.08,8.57,unconscious
0.087,0.197,21.0,8.08,6.88,unconscious
0.317,0.403,3.5,0.18,0.93,alert
0.251,0.324,4.1,0.15,0.36,alert
0.231,0.558,6.7,2.74,0.0,drowsy
0.256,0.37,13.8,0.3,0.85,alert
0.113,0.66,13.5,4.84,9.96,unconscious
0.132,0.234,7.2,4.91,8.27,unconscious
0.271,0.164,4.8,0.26,0.21,alert
0.112,0.456,23.5,2.43,6.04,unconscious
0.223,0.604,9.7,2.28,2.63,drowsy
0.205,0.474,26.8,6.87,7.15,unconscious
0.268,0.889,15.3,1.53,4.72,drowsy
0.214,0.835,20.0,1.42,3.99,unconscious
0.268,0.696,15.5,0.09,2.36,drowsy
0.208,0.593,9.0,1.05,3.57,drowsy
0.306,0.271,7.0,0.21,0.53,alert
0.155,0.453,23.5,4.49,9.31,unconscious
0.281,0.417,3.3,0.7,0.0,alert
0.328,0.356,4.1,0.33,0.84,alert
0.233,0.655,12.5,3.63,3.41,drowsy
0.259,0.357,7.0,0.0,1.13,alert
0.061,0.224,35.4,9.14,6.43,unconscious
0.089,0.601,28.3,3.32,9.32,unconscious
0.284,0.294,7.1,0.22,0.13,alert
0.271,0.265,5.0,0.56,0.82,alert
0.206,0.851,14.8,0.98,4.45,drowsy
0.108,0.502,27.5,7.57,8.29,unconscious
0.203,0.173,22.0,3.63,9.64,unconscious
0.338,0.29,5.6,0.05,0.65,alert
0.197,0.263,6.7,0.46,0.0,alert
0.209,0.513,13.0,0.25,5.39,drowsy
0.208,0.409,6.4,0.0,1.07,alert
0.117,0.468,7.2,3.33,2.2,drowsy
0.188,0.409,31.7,5.7,13.15,unconscious
0.129,0.633,28.0,5.0,4.94,unconscious
0.109,0.47,17.9,3.34,8.99,unconscious
0.355,0.35,3.6,0.66,0.0,alert
0.322,0.064,7.5,0.58,0.5,alert
0.132,0.272,23.8,6.95,5.46,unconscious
0.259,0.424,2.6,0.08,0.74,alert
0.198,0.902,34.3,3.27,0.22,unconscious
0.288,0.312,3.3,0.08,0.3,alert
0.333,0.329,3.2,0.77,0.0,alert
0.285,0.619,7.0,0.42,0.35,alert
0.167,0.299,19.5,3.3,9.68,unconscious
0.126,0.0,18.8,2.96,8.41,unconscious
0.313,0.327,7.0,0.0,0.01,alert
0.11,0.619,18.9,1.69,5.64,unconscious
0.172,0.647,28.6,7.59,9.46,unconscious
0.257,0.68,6.7,0.67,3.32,drowsy
0.05,0.301,22.8,4.95,0.7,alert
0.343,0.172,5.6,0.69,0.43,alert
0.134,0.468,31.5,6.8,15.18,unconscious
0.172,0.7,12.8,2.08,3.15,drowsy
0.138,0.511,15.2,2.66,4.91,drowsy
0.115,0.357,16.0,7.27,8.14,unconscious
0.141,0.653,7.0,1.65,2.15,drowsy
0.2,0.385,3.6,0.13,0.35,alert
0.294,0.086,7.8,0.17,0.4,alert
0.307,0.235,5.8,0.0,0.12,alert
0.08,0.282,29.7,5.06,7.62,unconscious
0.27,0.296,4.3,0.0,1.1,alert
0.181,0.47,37.3,7.08,5.71,unconscious
0.287,0.395,2.7,0.81,1.14,alert
0.201,0.457,11.4,1.42,0.0,drowsy
0.131,0.45,14.2,3.85,5.91,unconscious
0.182,0.501,10.4,2.47,4.03,drowsy
0.106,0.511,19.4,6.44,5.05,unconscious
0.153,0.387,21.3,0.91,5.23,unconscious
0.195,0.274,36.4,6.43,8.83,unconscious
0.197,0.473,15.0,0.16,2.53,drowsy
0.351,0.282,6.4,0.59,0.37,alert
0.282,0.322,3.1,0.09,0.0,alert
0.273,0.274,1.3,0.62,0.0,alert
0.127,0.885,23.8,7.33,7.37,unconscious
0.313,0.252,8.2,0.22,0.1,alert
0.118,0.521,23.5,3.63,6.93,unconscious
0.123,0.485,11.7,2.48,0.65,drowsy
0.266,0.448,5.6,0.51,2.71,drowsy
0.164,0.075,29.2,7.03,5.26,unconscious
0.231,0.457,13.3,0.33,0.98,alert
0.2,0.548,12.0,0.0,1.13,drowsy
0.331,0.303,6.8,0.36,0.18,alert
0.227,0.45,14.8,2.16,1.4,drowsy
0.158,0.415,13.0,5.92,8.81,unconscious
0.115,0.782,13.9,2.48,2.2,drowsy
0.199,0.637,11.0,2.34,4.41,drowsy
0.173,0.279,36.4,3.79,11.52,unconscious
0.05,0.377,23.5,6.64,3.06,unconscious
0.249,0.263,7.8,0.03,1.09,alert
0.207,0.357,16.3,1.54,6.61,unconscious
0.087,0.606,26.8,4.17,7.71,unconscious
0.262,0.317,4.8,0.0,0.47,alert
0.124,0.377,22.8,2.52,9.9,unconscious
0.084,0.382,12.3,5.34,8.42,unconscious
0.339,0.704,14.3,0.44,0.0,drowsy
0.237,0.392,4.5,0.0,0.08,alert
0.268,0.76,17.9,2.57,3.25,drowsy
0.261,0.687,15.3,1.18,0.89,drowsy
0.311,0.196,39.3,5.16,3.66,drowsy
0.164,0.752,9.2,1.36,3.21,drowsy
0.106,0.65,12.1,1.17,4.92,drowsy
0.27,0.2,7.5,0.42,0.18,alert
0.154,0.622,12.3,0.88,2.93,drowsy
0.167,0.728,8.1,3.15,3.94,drowsy
0.177,0.814,16.3,2.08,3.48,drowsy
0.071,0.283,12.3,1.75,7.92,unconscious
0.437,0.583,18.5,5.26,8.16,alert
0.356,0.245,7.9,0.01,0.0,alert
0.205,0.659,9.5,1.04,4.9,drowsy
0.219,0.251,16.4,7.68,9.61,unconscious
0.174,0.644,16.3,1.28,2.13,drowsy
0.098,0.712,36.6,2.14,2.33,alert
0.164,0.555,12.7,0.4,3.42,drowsy
0.197,0.693,35.8,9.11,8.64,unconscious
0.092,0.32,31.5,0.84,7.5,alert
0.252,0.568,11.1,2.39,6.02,drowsy
0.274,0.414,6.7,0.86,0.1,alert
0.147,0.327,25.6,9.97,4.89,unconscious
0.286,0.656,16.7,1.72,3.62,drowsy
0.191,0.693,11.6,1.03,1.11,drowsy
0.212,0.964,10.2,1.19,0.34,drowsy
0.378,0.282,6.8,0.41,0.53,alert
0.191,0.457,15.9,1.74,5.6,drowsy
0.129,0.34,27.8,9.8,10.01,unconscious
0.145,0.498,30.8,3.79,9.16,unconscious
0.34,0.275,8.8,0.08,0.08,alert
0.192,0.754,1.4,3.5,4.53,drowsy
0.214,0.811,13.7,1.69,1.43,drowsy
0.231,0.102,7.0,0.34,1.02,alert
0.058,0.385,32.5,6.8,10.77,unconscious
0.121,0.411,24.4,2.9,7.12,unconscious
0.247,0.318,6.2,0.0,0.84,alert
